CHEBI135632_camostat|CHEBI135880_benzquercin|CHEBI17822_serine|CHEBI52214_ligand|
CHEBI16189_sulfate|CHEBI24500_heparan|CHEBI28304_heparin|CHEBI17822_serine|
CHEBI16189_sulfate|CHEBI24500_heparan|CHEBI28304_heparin|CHEBI50249_anticoagulant|
CHEBI16189_sulfate|CHEBI24500_heparan|CHEBI17089_glycoprotein|CHEBI17822_serine|
CHEBI16189_sulfate|CHEBI24500_heparan|CHEBI17089_glycoprotein|CHEBI37396_proteoglycan|
CHEBI16189_sulfate|CHEBI24500_heparan|CHEBI17089_glycoprotein|CHEBI50249_anticoagulant|
CHEBI9321_sulbactam|CHEBI3493_cefoperazone|CHEBI63611_moxifloxacin|CHEBI47867_indicator|
CHEBI175901_gemcitabine|CHEBI33838_nucleoside|CHEBI50266_prodrug|CHEBI29920_phosphoramidate|
CHEBI9574_thrombin|CHEBI16670_peptide|CHEBI5054_fibrin|CHEBI16335_adenosine|
CHEBI9574_thrombin|CHEBI17822_serine|CHEBI48720_argatroban|CHEBI28304_heparin|
CHEBI9574_thrombin|CHEBI50249_anticoagulant|CHEBI28304_heparin|CHEBI8583_prothrombin|
CHEBI9574_thrombin|CHEBI50249_anticoagulant|CHEBI28304_heparin|CHEBI5054_fibrin|
CHEBI63580_ribavirin|CHEBI2955_azithromycin|CHEBI82977_daclatasvir|CHEBI85083_sofosbuvir|
CHEBI8622_psychotrine|CHEBI28819_naringin|CHEBI3374_capsaicin|CHEBI16243_quercetin|
CHEBI15355_acetylcholine|CHEBI17089_glycoprotein|CHEBI59132_antigen|CHEBI53000_epitope|
CHEBI207229_dihydroartemisinin|CHEBI72544_flavonoids|CHEBI2674_amodiaquine|CHEBI47916_flavonoid|
CHEBI18254_ribonucleoside|CHEBI16235_guanine|CHEBI142623_spiroiminodihydantoin|CHEBI16199_urea|
CHEBI30089_acetate|CHEBI82594_ferritin|CHEBI41879_dexamethasone|CHEBI17855_triglyceride|
CHEBI50846_immunomodulator|CHEBI33229_vitamin|CHEBI24621_hormone|CHEBI3638_chloroquine|
CHEBI17822_serine|CHEBI17087_ketone|CHEBI15356_cysteine|CHEBI29309_methyl|
CHEBI17822_serine|CHEBI18723_nicotine|CHEBI48433_angiotensin|CHEBI33229_vitamin|
CHEBI17822_serine|CHEBI17089_glycoprotein|CHEBI52214_ligand|CHEBI48433_angiotensin|
CHEBI17822_serine|CHEBI36976_nucleotide|CHEBI48433_angiotensin|CHEBI52214_ligand|
CHEBI17822_serine|CHEBI26020_phosphate|CHEBI48433_angiotensin|CHEBI52214_ligand|
CHEBI17822_serine|CHEBI26020_phosphate|CHEBI48433_angiotensin|CHEBI33229_vitamin|
